"time","longitude","latitude","mag","Dampak"
"2021-05-04T14:03:03.436Z","106.7213","-6.9917","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-05-03T20:22:36.362Z","112.3906","-7.6543","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-04-27T09:23:39.234Z","106.9425","-7.4516","5","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-04-27T03:23:01.451Z","110.2608","-8.4966","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-04-14T06:28:42.018Z","106.0265","-7.0761","5","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-04-10T23:54:58.852Z","112.469","-8.3613","5.1","Dapat menyebabkan kerusakan besar pada bangunan di area yang kecil."
"2021-04-10T07:00:15.485Z","112.5054","-8.5707","6","Mampu membuat kerusakan sampai area sejauh 160 km."
"2021-04-01T05:00:51.277Z","113.5845","-8.6618","4.4","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-03-26T01:59:08.117Z","106.4204","-8.6082","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-03-10T04:07:30.097Z","107.117","-6.0075","4.1","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-03-02T15:38:04.720Z","107.5103","-8.1597","4.2","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-03-01T13:46:47.081Z","114.5154","-8.6363","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-02-27T20:39:46.461Z","106.0952","-6.9244","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-02-25T19:45:05.036Z","105.8909","-6.2895","4.9","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-02-23T23:18:07.828Z","110.2896","-8.6668","4.3","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-02-21T14:56:33.710Z","106.6916","-7.3715","4.5","Dapat diketahui dari bergetarnya perabot dalam ruangan."
"2021-02-16T08:42:32.484Z","112.1134","-6.0512","4.8","Dapat diketahui dari bergetarnya perabot dalam ruangan."
